Cuisines,Cuisines
Andhra,1
"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",1
"Italian, Continental, Mexican, Japanese, American, British",1
"American, Burger, Fast Food",1
"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",1
"Healthy Food, American, Burger, Salad",1
"North Indian, Italian, Finger Food",1
"North Indian, Mughlai, Chinese, Mangalorean",1
"Chinese, Continental, North Indian, Mughlai",1
"Finger Food, Continental, North Indian",1
"Chinese, Mangalorean",1
"European, Chinese",1
"Continental, Chinese, Italian, Bakery",1
"Cafe, Continental, Italian, Bakery",1
"North Indian, Mughlai, Fast Food, South Indian",1
"Mughlai, North Indian, Bengali, Continental",1
"North Indian, Chinese, Biryani",1
"Thai, Chinese, Asian, Malaysian",1
"Chinese, Cafe, Fast Food",1
"Fast Food, Cafe",1
"Chinese, Lucknowi",1
"Awadhi, Mughlai, North Indian",1
"Afghani, Mughlai, Chinese",1
"North Indian, Indian",1
"American, Fast Food, Desserts",1
"Lebanese, Mediterranean, Arabian",1
"Mexican, North Indian, European, Chinese, Italian",1
"North Indian, Kashmiri",1
"Fast Food, North Indian, South Indian, Chinese",1
"Chinese, Naga",1
"Desserts, Ice Cream, North Indian",1
"Rajasthani, North Indian",1
"Cafe, Mexican, American, Italian, Lebanese, Continental",1
"North Indian, Continental, Chinese, Italian, Lebanese",1
"North Indian, South Indian, Chinese, Street Food, Fast Food",1
"South Indian, Chinese, Continental",1
"Continental, Chinese, North Indian, Healthy Food",1
"Healthy Food, Fast Food",1
"North Indian, Rajasthani, Gujarati",1
"North Indian, Chinese, Continental, Seafood",1
"Bakery, Desserts, Ice Cream",1
"Cafe, Fast Food, Continental",1
"Cafe, Italian, Continental, Fast Food",1
"European, Asian, North Indian, Italian, Continental, Pizza",1
"Continental, Chinese, Thai",1
"American, Mexican, Finger Food",1
"British, Chinese, Italian",1
"Mexican, Italian, American",1
"North Indian, Continental, Italian, Finger Food",1
"Burger, American, Fast Food, Italian, Pizza",1
"Chinese, Healthy Food",1
"Kashmiri, Chinese, Mughlai",1
"North Indian, Fast Food, Continental",1
"European, Sushi, Italian",1
"Seafood, Mughlai, North Indian",1
"South Indian, Andhra",1
"Mediterranean, Continental, Italian",1
"North Indian, Hyderabadi, Kashmiri, Chinese",1
"Continental, Asian, Sushi",1
"Italian, French",1
"Bengali, South Indian, North Indian, Mughlai",1
"Cafe, North Indian, Italian, Japanese, Fast Food",1
"Goan, Seafood",1
"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1
"North Indian, Mexican, Italian, Continental",1
"North Indian, Continental, European",1
"Asian, Japanese, Chinese, Thai",1
"Pizza, Italian, Cafe",1
"North Indian, Chinese, Italian, Mediterranean",1
"Burger, Juices, Finger Food",1
"Continental, Mexican, American, Italian, North Indian",1
"Continental, Italian, Asian, Indian",1
"Finger Food, Continental, North Indian, Chinese",1
"North Indian, Lucknowi",1
"Italian, Tex-Mex, Continental, North Indian",1
"Chinese, Japanese, Korean, Asian",1
"North Indian, Mughlai, Biryani, Bengali",1
"Continental, American, Fast Food",1
"Arabian, Mexican",1
"North Indian, Chinese, Mughlai, Italian",1
"Seafood, Continental, European",1
"Finger Food, European, North Indian",1
"North Indian, Mughlai, Kashmiri",1
"North Indian, Chinese, Fast Food, South Indian",1
"North Indian, Afghani, Mughlai",1
"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1
"Italian, Mexican, Continental, North Indian, Finger Food",1
"Fast Food, American, Burger",1
"Continental, Mediterranean, Italian, North Indian",1
"North Indian, Mediterranean, Asian, Fast Food",1
"Healthy Food, Continental, Italian",1
"Continental, North Indian, Chinese, Mediterranean",1
"North Indian, Chinese, Italian, American, Middle Eastern",1
"North Indian, Italian, Asian, American",1
"Chinese, Japanese, Italian, Seafood",1
"American, Continental, Italian, North Indian, Asian",1
"North Indian, Mediterranean, Asian, Continental",1
"Finger Food, North Indian, Continental, Italian",1
"Continental, American, Tex-Mex, North Indian",1
"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",1
"Chinese, Thai, North Indian, South Indian",1
"Cafe, Italian, Pizza",1
"American, Seafood, Italian, Japanese, Thai",1
"North Indian, Mughlai, South Indian, Chinese",1
"Lebanese, North Indian",1
"Cafe, North Indian",1
"North Indian, Mughlai, South Indian, Rajasthani, Street Food",1
"Cafe, American, Desserts, Italian, Bakery",1
"Finger Food, Continental, North Indian, Italian, Chinese",1
"Continental, Asian, North Indian, Italian",1
"Chinese, North Indian, South Indian, Street Food",1
"Mughlai, Pakistani, North Indian",1
"Chinese, North Indian, Italian, Continental",1
"Arabian, Lebanese",1
"Continental, Italian, Mexican",1
"Fast Food, Chinese, Bengali",1
"Asian, Bakery",1
"North Indian, American, Italian",1
"Pizza, Mexican, Chinese, Italian",1
"Kashmiri, Mughlai",1
"Seafood, Mediterranean",1
"Bakery, Mithai, Fast Food",1
"North Indian, Chinese, Street Food, Fast Food",1
"Italian, Pizza, Cafe",1
"Street Food, Mithai, South Indian, North Indian, Chinese",1
"Continental, Italian, North Indian, American",1
"North Indian, Mughlai, Asian, Continental",1
"North Indian, American, Asian, Biryani",1
"Italian, Mexican",1
"Raw Meats, North Indian, Chinese",1
"Biryani, Pizza, Fast Food, Healthy Food",1
"Bakery, Chinese, North Indian",1
"Street Food, Mithai, North Indian, South Indian, Chinese",1
"Mithai, South Indian, Chinese, Street Food, North Indian",1
"Mexican, Lebanese, Italian, Continental, Thai",1
"North Indian, Chinese, Fast Food, Desserts",1
"North Eastern, Continental, South Indian, Fast Food",1
"Healthy Food, North Indian, Beverages",1
"Bakery, Beverages",1
"Korean, Chinese",1
"Continental, Finger Food",1
"Continental, Chinese, North Indian, Mughlai",1
"American, Continental, Burger",1
"Mughlai, Hyderabadi",1
"Fast Food, Biryani",1
"Beverages, Juices",1
"Mediterranean, Mughlai, Thai, North Indian, Chinese",1
"Italian, Lebanese, Fast Food, Bakery",1
"Mexican, American, Healthy Food",1
"North Indian, Biryani, Fast Food, Chinese",1
"North Indian, Greek, Mughlai",1
"Cafe, Street Food",1
"Continental, Italian, Pizza, Asian",1
"Chinese, Mexican, Fast Food, Continental",1
"Burmese, Chinese, Thai",1
"Continental, Finger Food, Chinese, North Indian",1
"North Indian, Continental, Chinese, Japanese, Italian, Thai",1
"Finger Food, North Indian, Italian, European, Continental",1
"Beverages, Salad",1
"Street Food, Fast Food, North Indian",1
"American, Italian, Chinese",1
"Mediterranean, Mexican, North Indian, American",1
"Mediterranean, European, American, North Indian",1
"Chinese, Japanese, Thai, Asian",1
"Beverages, Salad, Beverages",1
"Healthy Food, North Indian, Continental",1
"Juices, Beverages, Healthy Food",1
"Biryani, Lucknowi, North Indian",1
"Korean, Japanese, Chinese, Asian",1
"Finger Food, American, Continental, North Indian, Italian",1
"North Indian, Italian, Mexican",1
"Cafe, Italian, Bakery",1
"Cafe, Italian, European, Bakery",1
"Continental, North Indian, European, Finger Food",1
"North Indian, Street Food, Beverages",1
"American, European, North Indian",1
"Greek, Mediterranean",1
"Italian, Mexican, Cafe",1
"North Indian, Mithai, Chinese, Street Food",1
"Cafe, Continental, Italian, Pizza",1
"Healthy Food, European, Continental, Salad",1
"Asian, Chinese, North Indian",1
"Awadhi, North Indian, Mughlai",1
"Continental, Burger, American",1
"Japanese, Tibetan, Vietnamese, Korean",1
"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",1
"Mexican, Italian, North Indian, Chinese",1
"Continental, North Indian, Chinese, European, Asian",1
"Hyderabadi, Awadhi",1
"North Indian, European, Continental, Finger Food",1
"Cafe, Continental, Italian, Street Food",1
"Bakery, Cafe, Fast Food",1
"Cafe, Italian, Mexican, Chinese",1
"Cafe, Lebanese, Italian",1
"Greek, Lebanese",1
"Cafe, Fast Food, Italian, Mexican",1
"North Indian, Chinese, Continental, Mediterranean, Asian",1
"Desserts, Cafe, Mexican",1
"Continental, Burger, Pizza, North Indian, European, Finger Food",1
"Cafe, Continental, North Indian, Chinese",1
"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",1
"Italian, Continental, Chinese",1
"Continental, Asian",1
"North Indian, Japanese, Italian",1
"Seafood, Continental, Goan, Asian, Andhra",1
"Continental, North Indian, Chinese, Arabian, Thai",1
"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",1
"Italian, Chinese, Mexican, Thai, North Indian",1
"Italian, Continental, Mexican, Cafe, Bakery",1
"Continental, Italian, North Indian, Lebanese, Thai",1
"Modern Indian, Asian",1
"European, North Indian, Mediterranean, American",1
"North Indian, Kerala, Chinese, Continental",1
"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",1
"Chinese, North Indian, Continental",1
"North Indian, Mexican, Italian",1
"Cafe, Continental, Desserts, Ice Cream, Italian, Beverages",1
"Indian, Chinese, Continental",1
"Finger Food, North Indian, Continental, Italian, Mediterranean",1
"Continental, Mexican, North Indian, Chinese",1
"North Indian, Continental, Chinese, Mexican, Italian, Desserts",1
"North Indian, Continental, Chinese, Italian, Mexican",1
"Cafe, Mexican, Italian, Continental",1
"Cafe, Mexican, Italian, North Indian, Fast Food",1
"Italian, Bakery, Continental",1
"North Indian, Chinese, Continental, Rajasthani",1
"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",1
"Cafe, Italian, Japanese, Continental",1
"Asian, Chinese, Tibetan",1
"Continental, Juices, Cafe, Desserts, Salad, Italian",1
"Cafe, American, Italian, Continental",1
"Cafe, Fast Food, Chinese",1
"Chinese, North Indian, South Indian, Healthy Food",1
"Mithai, North Indian, South Indian, Chinese",1
"North Indian, Mithai, Chinese",1
"Afghani, North Indian",1
"Healthy Food, Salad, Italian, Continental",1
"Asian, Continental, Fast Food",1
"North Indian, Biryani, Chinese",1
"North Indian, Asian, Italian",1
"Healthy Food, Cafe, Desserts, Italian, Bakery",1
"North Indian, Italian, Parsi, Asian, Kerala",1
"Continental, Italian, North Indian, Mughlai",1
"Continental, North Indian, Italian, Chinese",1
"Bihari, Lucknowi, North Indian",1
"Asian, Seafood",1
"Chinese, Continental, North Indian, Mexican",1
"North Indian, Italian, Chinese, American",1
"Portuguese, African, Lebanese",1
"North Indian, South Indian, Chinese, Healthy Food, Bakery",1
"Healthy Food, Continental, North Indian, Salad",1
"Chinese, Thai, Japanese, Asian",1
"Healthy Food, North Indian",1
"Mithai, Street Food, South Indian, Chinese, North Indian",1
"Chinese, Assamese",1
"Mithai, Bakery, Street Food",1
"North Indian, Mediterranean, European, Asian, Chinese, Pizza",1
"Healthy Food, Fast Food, Salad",1
"Bakery, Desserts, Bakery",1
"Italian, Burger, Charcoal Grill",1
"Chinese, North Indian, Continental, Mexican",1
"Cafe, Pizza, Burger",1
"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",1
"Goan, American, Portuguese",1
"South Indian, Desserts, Beverages",1
"Healthy Food, North Indian, Italian, Salad",1
"Bengali, Fast Food",1
"North Indian, Rajasthani, Asian",1
"Chinese, Thai, Malaysian, Indonesian",1
"Bakery, Desserts, North Indian, Bengali, South Indian",1
"Italian, World Cuisine",1
